20-91,36-157,50-218,75-320
29.845,609.425,2511.3575,53989.1675
343.67,188.225,816.32,1352.245
236.83,288.7675,7569.325,1233.0475
54.7625,103.66,1641.3675,19162.8875
184.995,587.7075,409.865,1265.835
126.81,1127.83,1258.455,7853.6275
37.99,22868.59,282.88,6090.475
33.66,562.91,825.1575,294.4575
208.025,123.63,1126.2225,34134.785
26.575,231.775,1618.1825,1931.9075
37.8025,1116.6125,773.995,1765.575
184.3725,650.1925,174.5975,1847.99
77.4525,107.5325,1612.4,8566.025
160.96,954.845,609.565,753.7475
65.8875,265.175,1032.765,395.285
32.335,208.0875,370.5575,436.03
90.225,249.7825,440.6375,10255.93
22.785,50.2025,338.2025,5492.1175
138.515,120.35,3899.155,17037.5825
265.23,2035.2075,2764.24,65329.725
66.3175,859.78,1199.7775,2535.3575
39.18,661.6325,452.3875,2127.17
39.34,147.3175,168.1425,1534.29
29.53,51.44,1019.4575,10685.3575
497.0225,281.79,429.0125,59436.985
183.37,4016.79,46901.295,3693.09
395.37,178.4875,779.12,2556.64
30.4125,1453.305,430.9625,1472.135
109.4625,972.885,299.955,2083.3525
31.195,666.6225,3501.0875,9542.775
95.25,1455.955,1432.78,2316.285
169.27,1098.1425,180.4575,1458.765
27.3925,381.42,486.78,4544.6875
42.965,555.085,2452.4475,1875.325
100.265,257.9775,362.6525,1910.4825
222.23,329.585,826.685,595.995
156.175,865.62,284.4575,8655.2525
131.1375,1416.5225,332.79,7637.675
124.4625,1341.62,736.2275,2539.61
141.845,2261.24,669.9525,4218.7225
50.1525,161.0625,523.845,8498.9125
128.075,2811.985,825.235,729.0875
187.0025,304.0975,4189.7075,8768.9425
46.88,262.1575,372.6825,4216.955
58.9675,409.695,458.2275,173.15
179.2025,93.445,1734.9575,5982.34
303.3975,593.9175,1151.8,3063.615
106.08,462.7975,1463.15,1865.0275
201.085,573.45,344.1975,866.8475
160.7575,500.59,850.1325,4765.005
93.4625,154.4625,145.545,5836.6925
120.9125,580.2,868.385,726.3675
63.3175,1538.1975,800.18,9354.305
26.3375,140.035,2347.2575,1127.5675
77.06,880.9225,380.3825,1406.335
62.9375,236.695,2720.9075,12855.96
41.9875,452.185,7342.035,2811.78
181.9975,2322.71,6023.7375,1863.9
342.53,81.325,193.24,1219.975
138.7825,86.6675,5156.12,998.805
46.255,893.78,578.415,2005.2425
39.0,199.85,3091.1175,812.375
20.4075,145.875,2871.07,892.3475
29.5875,136.97,883.3675,2983.08
68.7925,172.3775,1062.4925,9260.295
61.6275,102.8975,477.4025,4867.9275
227.865,92.99,876.5275,1954.205
77.99,1071.8825,2150.58,421.47
75.0125,1257.5325,11070.3,342.2625
249.1725,301.3525,296.1575,1988.7775
105.815,432.555,228.9525,3062.7975
149.22,1114.2975,264.8325,1313.5675
20.7225,114.075,2120.89,505.455
155.3425,721.745,3477.2925,758.3175
134.8975,260.1675,322.1525,1430.805
103.1625,438.385,1570.3625,5396.3375
17.515,460.6175,3102.145,4884.8475
31.075,472.96,6891.275,565.815
125.68,216.9875,404.235,896.52
145.12,98.6325,3789.49,16815.785
28.3325,11644.44,586.9925,3214.3475
68.145,602.67,3580.9575,9419.2775
73.055,143.85,454.2,510.76
50.0525,172.42,4393.8775,3692.2675
267.4425,328.245,504.6975,967.5375
74.785,158.6375,3935.41,586.3425
27.12,439.8925,482.5775,1016.205
28.4425,230.235,2886.29,4006.035
48.4725,100.6025,2143.5325,1091.47
55.3,1967.81,1205.09,1445.94
123.4,179.945,2438.1725,5334.5175
58.4975,230.45,823.4925,26761.5375
173.965,203.65,180.6125,14650.4325
152.095,249.6775,299.595,3207.84
268.0475,349.855,439.9075,3305.9625
52.735,1772.975,14604.0475,954.4625
218.49,122.6475,1644.735,7951.2225
62.26,192.6725,299.235,1356.7275
166.8975,4114.645,416.6275,834.8025
226.01,291.93,186.1625,3456.255
48.88,947.4175,506.2575,2970.795
15.5475,338.6225,3175.635,1200.2975
147.38,206.4475,1144.27,580.6625
256.0275,1608.03,742.85,1412.3125
142.345,192.8875,3002.05,3419.7925
127.8475,1749.3975,530.88,3094.9225
134.405,592.1275,1166.1,2838.5375
111.25,504.8375,269.755,5667.45
155.445,198.1825,656.645,2271.285
304.1775,745.4,473.29,1996.5825
242.135,784.755,178.015,15103.4825
22.9725,101.9475,301.995,6500.6525
59.28,430.9625,1117.7925,463.34
206.47,133.6575,2254.5875,7859.78
263.03,1220.5725,1411.9675,3013.735
89.0,951.5625,1646.69,1675.36
303.325,511.6375,9042.18,5416.68
24.4675,252.4375,141.0075,481.4275
16.355,8503.935,618.6075,1238.83
116.7025,92.5675,3347.3225,3671.98
78.3375,287.29,2224.475,2084.5225
107.1375,672.07,1746.4675,16722.6225
191.015,240.7475,1019.12,2211.24
294.6675,290.4175,468.1675,3824.8425
115.74,109.4575,172.1675,866.63
94.0025,319.835,736.4125,637.59
52.84,624.96,641.98,441.805
71.71,409.5525,140.7125,3050.3275
1145.48,206.6575,3328.54,6403.0375
49.675,527.7475,163.655,4377.935
20.875,971.27,555.0875,4237.12
492.715,519.47,1473.1925,1356.215
30.9425,259.4425,4618.8025,688.76
301.155,132.43,608.41,12196.0475
149.14,2772.5925,2334.9975,6826.9475
643.085,292.2625,339.9125,599.16
22.265,447.9825,1991.745,15666.275
24.5375,2812.485,248.8125,2073.375
152.0,168.695,872.375,10900.775
24.8825,169.525,1992.3525,643.35
131.65,204.64,951.955,9889.71
41.0725,926.4975,2906.3275,12824.655
55.79,386.4725,773.3125,29704.0925
176.5175,912.1975,644.0325,889.74
21.09,4770.4675,2234.255,2126.6825
50.155,167.9925,509.36,774.6625
30.5975,300.4825,442.75,2155.0725
60.455,257.8425,1512.9525,5122.0575
43.7975,884.8875,489.6575,1348.72
183.845,67.81,534.445,313.3525
364.07,438.0225,854.395,896.095
485.565,347.255,348.6375,1152.4675
168.2375,206.2725,230.775,2541.8425
82.865,187.355,1359.5725,6090.7225
17.5125,368.2625,797.2225,2774.9525
59.985,71.8175,463.1475,502.8525
25.7675,908.04,2227.735,1194.2325
28.8575,501.655,391.5425,1191.77
134.395,470.4675,233.165,2704.9125
181.34,585.17,709.8925,3654.8025
199.045,363.1975,477.26,811.015
334.6675,52.4675,958.8375,3358.44
406.3,160.3675,2706.1775,31568.4075
76.3775,403.0875,2227.85,1600.05
42.8925,1212.1825,1160.685,827.5625
68.195,824.865,1373.425,3987.8175
