20-91,36-157,50-218,75-320
129.68,86.9425,706.4125,2532.0975
106.4925,102.6325,854.7775,1470.5675
78.2125,133.3,152.4525,265.355
78.5975,394.6775,311.7975,223.9625
84.2725,425.7125,452.0875,466.1225
389.315,103.5375,471.67,2178.92
29.075,106.9875,302.83,1533.2525
154.055,105.875,1052.4125,2067.9625
84.9075,258.555,87.5425,403.3225
46.975,73.91,398.4775,1593.515
43.2275,350.245,310.0775,1108.7875
84.21,62.05,190.3925,2516.4675
79.2975,169.805,235.8875,485.9
38.8875,333.16,519.415,440.9825
49.9925,551.855,416.9975,358.2825
99.25,695.1525,163.25,574.0275
95.965,109.4625,339.995,814.45
76.52,211.115,1409.19,629.63
59.1625,144.4625,373.5275,284.155
72.1075,532.36,121.37,594.6975
92.4475,696.77,421.2725,595.2125
68.2325,400.245,714.9775,1651.9825
28.3875,1586.2375,180.1025,5799.2075
117.6,484.9325,183.3625,1686.43
185.0975,424.3125,142.8775,10233.8875
117.145,763.6375,328.5525,1058.5675
163.57,160.8375,203.33,1515.17
41.59,160.4225,593.3225,474.9825
82.03,222.21,1121.9225,1333.03
100.5025,303.6175,876.975,9703.9775
34.5075,138.81,291.9675,526.985
43.18,251.305,183.31,262.375
59.7025,59.345,367.4525,248.4575
102.87,381.2725,268.2425,474.95
199.575,641.58,1762.01,685.8675
102.2775,103.7925,1717.0175,544.8225
25.0525,305.42,186.21,2765.2775
86.57,83.555,438.495,1355.485
202.54,373.6825,2808.8625,879.7375
50.59,309.6125,184.3325,1136.4
29.9425,117.6,418.255,2190.995
123.82,112.81,179.875,639.055
47.2975,50.09,381.37,527.66
103.38,110.19,739.8975,2264.9875
14.0525,92.31,1560.345,834.045
65.5875,715.2375,151.59,722.3075
65.86,501.4,1811.5825,2631.92
367.48,596.74,385.44,498.3275
61.315,81.9125,469.2625,2986.5525
55.9275,1155.44,1396.345,1985.02
110.535,1482.145,147.9825,25368.955
22.2875,334.05,2199.1475,1416.145
166.1675,238.065,116.815,1050.0275
31.8425,267.9575,115.21,728.6075
36.8175,2649.21,1173.74,791.695
131.785,137.96,209.7325,408.685
60.215,875.9675,276.9275,359.29
161.105,348.94,334.8775,607.7025
25.0125,734.345,443.5725,335.71
94.425,125.3975,826.6025,659.6725
25.3975,60.7075,505.1125,464.5725
56.8475,58.5425,250.2,963.8525
19.48,517.565,2613.46,1209.5
351.35,266.055,880.8275,712.21
127.3225,113.8375,373.62,540.565
58.89,431.0725,368.865,1502.2475
25.6925,349.205,212.6275,684.6825
40.18,174.1475,241.0175,2582.5775
50.06,384.805,2063.215,592.205
24.7275,204.505,289.39,574.2725
24.7375,289.19,1324.5625,937.425
281.875,191.415,443.3625,3466.6625
183.7425,165.765,254.355,360.7075
47.4875,606.2575,157.19,4610.165
89.43,326.43,1101.495,593.0975
34.6425,103.6175,2726.725,1974.165
137.035,121.485,140.53,472.4725
37.7625,371.7325,108.23,2343.445
111.1525,636.4425,216.2525,1323.235
76.3775,251.165,368.9425,423.77
28.315,149.76,140.7,6131.255
78.7525,938.0375,1068.5825,429.605
87.01,127.3475,198.565,2473.5675
64.5,680.225,457.945,5758.4825
104.6375,149.52,129.52,806.9075
46.885,416.04,1041.405,1548.8725
32.09,340.2175,311.6325,2235.4125
86.0975,719.505,311.45,906.0125
65.6325,545.285,2555.7525,1380.4825
128.9975,410.8,229.4725,723.61
146.025,214.4,824.9525,799.92
93.285,204.9025,1033.9625,1293.005
28.515,83.59,365.2125,1119.115
75.905,127.66,585.5475,2243.9725
100.2925,182.295,459.4375,820.27
37.9475,120.7425,640.73,477.525
76.725,161.395,1055.61,932.335
227.9725,432.16,647.6325,1333.34
71.0925,106.6325,584.4225,2311.9775
37.385,110.87,210.34,462.1175
82.2675,144.0675,475.6,387.935
108.89,545.4625,3052.72,2841.7725
27.855,72.76,290.2425,258.5325
52.7475,160.16,1167.9925,370.9975
54.34,159.895,2895.4275,266.8
142.4975,537.075,318.06,376.8925
61.5775,124.7275,402.195,658.0
80.2825,133.715,149.8525,9728.435
103.8825,998.86,122.78,2079.9525
42.18,482.435,947.0925,119.5175
28.7025,137.4925,2099.8225,1504.2425
297.615,144.3875,1700.795,1212.29
39.125,147.9225,290.5275,1383.735
46.7875,196.12,367.9525,378.675
50.745,102.0225,525.9575,321.8825
43.5825,69.23,193.9925,751.0775
181.505,833.07,352.975,1013.795
59.345,45.4425,323.7975,2585.7175
208.2575,80.48,608.9375,1101.2375
167.07,68.225,680.11,424.255
32.295,291.4375,748.895,12110.4975
145.8425,141.2675,349.7425,663.445
154.05,148.6075,2473.155,634.1375
48.4075,86.2025,696.2125,6446.8175
131.8975,332.685,262.4125,883.3525
103.93,477.78,979.615,1833.0475
29.225,5279.69,169.1275,2456.7475
33.4075,245.1975,471.9975,214.205
134.03,105.55,601.655,12224.3875
26.4125,167.61,540.3375,829.245
33.5225,481.175,382.575,591.225
90.5975,290.1825,116.9775,742.93
85.7575,77.77,588.4375,2607.8125
79.5375,258.76,324.875,426.72
64.525,163.0825,609.9875,266.525
22.835,133.165,213.75,261.7725
82.3225,122.67,294.865,3110.7225
20.5475,43.0425,235.98,2116.9025
101.945,98.455,1563.39,5642.31
187.845,758.6725,1055.825,11879.985
45.515,285.915,493.845,782.4825
31.595,389.72,248.35,1004.645
34.1825,125.1975,132.925,770.7175
32.7175,44.115,647.3375,2565.51
165.505,174.8175,276.0725,13548.845
123.07,803.9125,10184.5525,1664.785
170.5975,112.005,378.6525,1204.1325
26.6825,303.715,251.8425,664.1225
93.7375,558.835,165.915,767.0275
30.2325,228.03,1216.4625,3113.585
60.445,344.3225,795.43,1000.005
114.08,416.3925,149.305,779.025
22.885,207.91,322.61,2051.89
40.445,399.515,909.38,687.2675
52.9125,181.9775,231.8675,771.1825
99.4225,208.365,404.135,329.93
114.2,416.1475,140.24,2745.305
69.355,863.8175,274.1,3405.57
69.5775,658.7975,328.075,1309.0225
137.0,933.9575,555.625,1560.6275
40.235,122.2,250.0175,1617.6925
67.8975,532.2375,411.65,374.9125
103.37,178.4875,1804.185,4250.85
35.46,137.2975,216.2375,821.7275
46.5075,187.5425,238.1825,132.925
128.6425,69.9825,766.525,2620.04
190.74,316.4125,584.95,1547.9675
98.4275,335.315,735.595,686.6575
164.28,392.1825,188.0525,506.1025
118.2675,237.49,417.67,1601.8225
62.8675,91.0475,106.2525,1966.725
126.75,280.1075,437.0575,401.1275
42.075,793.835,407.6875,3083.4825
23.505,123.0775,786.6125,510.375
62.3175,395.05,202.745,407.6225
42.415,146.255,1211.13,3496.3775
39.28,230.6125,2508.285,724.6825
89.65,905.3625,2546.8725,893.1925
218.4275,58.07,131.125,430.9075
104.905,69.33,3079.3275,601.19
47.4425,313.1025,285.855,681.785
31.375,120.915,702.75,376.0975
18.97,98.6625,1391.3075,420.935
32.7225,128.63,342.2125,1257.92
52.4275,127.6875,337.495,3317.845
42.375,76.85,284.4725,1070.5
108.75,80.34,329.46,966.2325
63.9925,423.605,1002.88,270.5475
54.7025,594.7325,3392.11,222.56
164.0125,154.0975,189.5775,888.43
76.805,295.24,123.5,1629.9575
61.2075,415.965,175.02,560.385
19.7625,92.16,1106.3475,322.1025
115.2875,411.5,1512.2675,422.0575
75.8475,231.4375,209.6175,723.4725
79.22,281.125,866.715,1625.26
18.205,284.65,828.5075,1632.3725
31.6175,224.02,2272.6475,298.145
84.43,155.49,253.7425,510.94
108.41,70.01,2160.3,2612.9525
22.705,1297.81,420.3325,1031.7675
45.64,342.6125,1040.635,1769.16
63.845,92.815,356.8775,241.6625
42.8675,112.115,508.915,836.455
102.0225,245.635,261.44,435.2175
47.1225,104.41,1628.675,351.345
28.8275,296.8225,319.96,458.06
26.755,139.37,1167.76,1671.9075
33.25,80.25,783.5125,523.07
45.0425,753.255,989.3175,834.09
73.56,145.745,814.08,853.1025
44.6175,167.7325,461.1675,6344.44
130.7975,131.8225,124.3025,3052.15
74.15,148.24,182.3825,991.7
111.37,252.8075,244.8,1492.2775
45.1775,608.3425,3251.6275,456.1125
132.435,91.415,581.86,1768.755
41.0575,143.8125,181.4875,739.12
148.0875,1925.6875,224.5575,391.3925
116.4025,253.91,106.535,1713.7075
40.88,501.9075,288.7525,948.305
15.685,184.2975,1340.185,339.2775
84.7875,115.8225,492.86,284.875
144.1275,452.14,409.1875,399.1725
126.485,181.435,773.1475,1311.705
91.8875,668.0325,296.8025,1009.84
90.18,320.735,396.245,1165.6325
69.68,258.565,192.7575,1335.1425
76.215,165.67,334.8875,1281.6375
208.04,652.6275,192.59,615.5625
158.07,368.24,111.8375,6191.82
22.4425,73.75,184.265,2385.8825
50.6425,180.5675,419.5675,259.2175
149.32,117.59,614.29,2606.3575
163.675,342.87,424.93,1182.9875
66.895,427.045,759.085,761.695
246.645,296.5925,3243.36,1383.9875
23.97,111.515,111.3975,308.87
17.1875,1280.49,364.3175,547.305
79.705,71.9075,1330.6675,1821.96
52.66,162.64,1432.9025,1092.77
59.0025,370.395,980.1875,3742.3525
121.945,209.3825,419.1625,791.6325
191.72,169.965,294.7325,901.1875
79.015,88.6,112.645,448.3425
83.135,165.67,392.54,438.7825
48.65,440.06,430.41,289.845
65.21,220.925,138.1275,963.935
357.9825,143.1675,984.625,1882.9425
38.26,262.6275,140.32,1224.36
19.5425,536.5075,325.3775,2617.0625
247.805,360.5225,861.48,563.755
29.4775,181.52,1568.9875,438.46
149.2525,90.74,271.775,4769.9575
121.565,1260.41,858.4975,1664.19
386.585,153.8875,208.74,429.1575
19.645,183.435,1349.355,1790.6975
26.7425,1666.0475,148.0425,975.095
99.9775,118.81,286.1925,1468.56
20.8725,88.0025,758.505,346.1925
97.33,113.2925,463.37,5899.6525
37.8375,498.765,690.84,2395.87
44.065,212.435,297.215,3465.9425
158.515,481.88,309.3125,564.3775
22.545,954.625,1122.0725,797.8425
49.18,111.98,242.5875,427.71
26.165,195.6425,199.385,964.185
46.9775,171.31,507.67,1270.1975
42.91,263.28,278.395,464.1775
119.06,54.0925,332.9475,212.595
220.69,216.3375,362.705,499.6325
242.885,323.305,273.715,537.4725
126.635,123.8,159.38,874.235
54.4325,143.8375,729.5325,2014.065
17.7275,251.595,250.92,1078.3275
53.4675,55.425,267.505,244.9025
22.9825,422.235,817.0325,620.2
27.8425,204.03,231.61,645.0875
78.73,290.75,135.7775,1091.7575
87.12,375.19,285.53,1705.9275
138.895,221.8275,232.315,398.9075
112.3475,43.5825,416.53,1091.2575
167.57,97.64,579.6025,8855.46
43.215,153.165,692.905,955.3875
37.7325,1566.4775,790.0525,433.8325
34.195,417.4625,668.3025,2011.29
187.86,80.3525,552.02,697.7
217.18,133.385,1014.5825,2012.74
126.88,213.145,89.3,12610.9225
24.3525,614.37,111.2825,626.3025
59.05,417.0925,296.705,855.71
33.26,138.3025,297.5125,411.4725
107.7725,101.22,383.4875,472.1125
64.1475,252.9525,1159.3575,241.2725
218.89,203.92,878.4775,994.0475
40.66,201.4275,567.9675,1332.68
149.74,128.13,3403.8325,1601.7025
48.295,154.975,1434.0575,433.055
55.25,307.9925,117.7025,556.5425
38.4125,284.86,95.075,3572.345
140.65,357.605,295.4425,514.3
19.0775,160.5075,238.7875,3630.2075
30.4325,322.33,477.0175,1889.125
79.1,238.9325,318.03,1284.93
100.205,75.235,198.78,1095.1925
109.72,348.44,955.1775,3572.055
30.285,284.8725,1222.5475,2776.165
128.8925,400.425,106.3525,258.9125
42.7125,665.175,111.0325,2558.155
18.565,209.7,649.69,393.7375
120.4625,111.6425,111.2425,6715.52
118.045,124.515,1348.7325,1064.5975
67.38,71.92,161.5875,673.705
74.825,1818.25,564.93,1593.1775
79.3175,728.3875,771.445,4586.385
57.0775,138.805,520.6775,2820.26
56.5075,202.8025,930.9125,935.5025
28.5725,421.4975,2142.095,684.525
65.265,357.815,138.455,252.5925
69.6625,648.3525,2085.1525,1315.965
82.7775,81.35,316.1075,2714.5975
99.58,111.9425,345.1,1198.8425
89.365,141.0325,241.7675,1516.0975
100.4425,255.7725,287.25,569.5925
172.415,303.3925,319.855,512.6525
21.5425,274.48,244.9625,1008.91
30.765,834.685,241.1525,935.675
184.205,172.9875,300.6825,3761.8575
103.26,576.405,291.0175,584.2275
48.5925,508.68,399.135,1378.7625
74.065,282.6575,305.5575,2032.44
60.0775,152.415,1886.2025,299.3625
35.32,1599.505,315.685,778.3325
121.5175,196.93,1837.4025,429.405
201.84,138.5125,324.33,1551.69
79.8575,280.4375,1862.77,1652.565
51.5,127.3275,1176.5875,2733.3
200.91,59.285,363.8575,627.6975
32.995,48.675,602.9725,1205.55
20.3875,66.26,548.41,651.325
163.695,188.22,568.3075,10831.6775
27.9825,73.96,95.22,837.2075
50.58,293.5175,1733.9425,2910.5775
249.965,129.705,311.775,3009.9075
34.585,697.205,104.105,4454.715
53.775,256.97,111.015,854.0075
